"","parcelid","bathroomcnt","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","finishedsquarefeet12","fips","fullbathcnt","latitude","longitude","lotsizesquarefeet","propertycountylandusecode","propertylandusetypeid","rawcensustractandblock","regionidcity","regionidcounty","regionidzip","roomcnt","yearbuilt","structuretaxvaluedollarcnt","taxvaluedollarcnt","assessmentyear","landtaxvaluedollarcnt","taxamount"
"1345098",11092667,3,4,3,2423,2423,6037,3,34244794,-118529173,8293,"0100",261,60371152.012006,12447,3101,96355,0,1987,329880,515179,2016,185299,6259.63
"1860030",13863815,3.5,3,3.5,3070,3070,6059,3,33660966,-117994218,3188,"122",261,60590993.064008,25218,1286,96966,6,1981,294102,386210,2016,92108,4472.16
"577988",14042370,3,4,3,2566,2566,6059,3,33726814,-118014872,6400,"122",261,60590994.06201,25218,1286,96965,8,1964,160262,518557,2016,358295,5845.4
"2584230",11637443,6,4,6,4538,4538,6037,6,34071358,-118390399,7500,"0101",261,60377008.012002,10389,3101,96086,0,2002,633263,1906156,2016,1272893,22319.98
"2259210",12363438,2,3,2,1316,1316,6037,2,33975019,-118211289,4308,"0100",261,60375332.031004,39076,3101,96110,0,1949,139279,341725,2016,202446,5176.27
"1577263",14023757,2,3,2,1176,1176,6059,2,33681516,-117907172,7888,"122",261,60590639.02103,38032,1286,96958,6,1956,73163,263603,2016,190440,3418.96
"1442861",14040357,1.5,3,1.5,1127,1127,6059,1,33726874,-118025697,6000,"122",261,60590994.071005,25218,1286,96967,5,1960,57525,340817,2016,283292,3934.54
"899927",11848674,2,3,2,1181,1181,6037,2,34041240,-118132404,5735,"0100",261,60374827.021013,6021,3101,96496,0,1950,40568,70162,2016,29594,1144.51
"1246558",12703525,6,5,6,5695,5695,6037,6,33758491,-118353229,109338,"0101",261,60376705.00101,6822,3101,96121,0,1985,1073793,2123932,2016,1050139,24717.2
"1097576",12769552,1,2,1,1485,1485,6037,1,34043284,-117999866,5994,"0100",261,60374083.011033,113576,3101,96490,0,1948,89055,321014,2016,231959,4264.48
"887874",12547454,1,2,1,865,865,6037,1,33766800,-118176000,4884,"010E",266,60375766.012004,46298,3101,96236,0,1956,149116,252669,2016,103553,3103.87
"2908597",17251534,2.5,4,2.5,2695,2695,6111,2,34266992,-118750968,6500,"1111",261,61110080.012001,27110,2061,97118,9,1967,219671,366116,2016,146445,4302.38
"107540",11208130,2,3,2,1299,1299,6037,2,34582357,-118070179,7198,"0100",261,60379106.013021,40227,3101,97328,0,1957,60584,80849,2016,20265,1859.93
"1085693",14249540,2,4,2,1575,1575,6059,2,33768882,-117844827,6003,"122",261,60590754.042008,47568,1286,97005,6,1972,108716,487016,2016,378300,5376.78
"1627356",10794468,2,3,2,1486,1486,6037,2,34192659,-118584395,7558,"0100",261,60371349.041002,12447,3101,96341,0,1956,92304,274089,2016,181785,3340.77
"2346322",11830400,1,2,1,988,988,6037,1,34022113,-118158284,4835,"0100",261,60375316.042,17882,3101,96003,0,1924,119804,249999,2016,130195,3536.3
"827231",12280135,1,2,1,861,861,6037,1,33907952,-118214193,10018,"0100",261,60375416.043003,24174,3101,96091,0,1937,39928,146064,2016,106136,2837.5
"2791516",11184022,3,4,3,2602,2602,6037,3,34619278,-118183986,7023,"0100",261,60379102.101015,40227,3101,97329,0,1990,191403,239252,2016,47849,3858.72
"2004188",11932824,2,3,2,1748,1748,6037,2,34082310,-118077305,5962,"0100",261,60374322.01201,54212,3101,96510,0,1958,199999,514069,2016,314070,6397.8
"1888578",12858113,2,4,2,1260,1260,6037,2,33984388,-117837741,11675,"0100",261,60374033.222009,24384,3101,96505,0,1976,154318,609150,2016,454832,7136.11
"2416160",17080812,2,4,2,1293,1293,6111,2,34263992,-119249551,7800,"1111",261,61110028.002009,34543,2061,97083,7,1955,177000,503000,2016,326000,5284.6
"1205011",14273791,2,3,2,1040,1040,6059,2,33656237,-117935635,6000,"122",261,60590638.034003,38032,1286,96959,6,1956,54793,301317,2016,246524,3742.84
"1869888",11871227,2,2,2,1251,1251,6037,2,34099100,-118183000,222368,"010C",266,60372013.022,12447,3101,96023,0,1981,149181,270562,2016,121381,3350.05
"2784328",13959478,2,4,2,1266,1266,6059,2,33769734,-117910433,9000,"122",261,60590891.072011,24832,1286,97050,7,1955,63054,334226,2016,271172,4602.76
"2143025",13081283,2,4,2,1571,1571,6037,2,34006118,-117879131,5856,"0100",261,60374081.362011,14542,3101,96525,0,1963,117761,224170,2016,106409,2998.86
"1438693",12282094,2,3,2,1226,1226,6037,2,33936126,-118217030,3771,"0100",261,60375403.002003,32616,3101,96113,0,1928,94000,333000,2016,239000,4569.52
"1790927",17224342,2.5,2,2.5,2793,2793,6111,2,34231481,-118850314,14518,"1111",261,61110064.001015,34278,2061,96383,6,1981,252296,388139,2016,135843,4111.08
"39291",12929514,2,3,2,1186,1186,6037,2,34085314,-117918500,7301,"0100",261,60374056.001007,14542,3101,96523,0,1954,93604,228495,2016,134891,2927.05
"741853",14019766,2,4,2,1557,1557,6059,2,33680264,-117922941,6240,"122",261,60590638.021003,38032,1286,96958,7,1959,93971,511399,2016,417428,6019.72
"1566200",12639852,3,3,3,1490,1490,6037,3,33798900,-118303000,103641,"010C",266,60372933.021019,12447,3101,96210,0,2005,320000,443000,2016,123000,5446.71
"602833",12132513,1,3,1,1993,1993,6037,1,34163385,-118056885,13233,"0100",261,60374305.024006,47695,3101,96278,0,1931,28975,71822,2016,42847,1051.49
"2528685",12664277,4,3,4,2904,2904,6037,4,33833190,-118381100,6437,"0101",261,60376213.01301,33612,3101,96123,0,1998,517889,954906,2016,437017,11454.08
"632976",12207453,2,3,2,1230,1230,6037,2,33964294,-118312638,6041,"0100",261,60372381.00401,12447,3101,96028,0,1926,62000,312000,2016,250000,3831.54
"1368843",14151632,2,4,2,1552,1552,6059,2,33940799,-117922473,7150,"122",261,60590014.03101,18874,1286,96186,7,1958,87088,317039,2016,229951,3718.1
"164646",17158131,2,2,2,1642,1642,6111,2,34190092,-119239677,1742,"1129",266,61110036.091053,13150,2061,97106,5,1978,180000,511000,2016,331000,6073.38
"919166",12919093,2,3,2,1435,1435,6037,2,34097834,-117924219,8175,"0100",261,60374057.013005,24245,3101,96473,0,1949,71067,355337,2016,284270,4456.24
"2904025",14092810,2,4,2,1449,1449,6059,2,33765664,-118006721,7200,"122",261,60590999.031,34780,1286,96990,6,1955,58898,374484,2016,315586,4683.28
"1609665",10719037,5,4,5,3309,3309,6037,5,34211559,-118646382,10335,"0101",261,60371344.241004,12447,3101,96339,0,2001,464000,1029000,2016,565000,12514.09
"1812630",12448097,1,2,1,1051,1051,6037,1,33868167,-118179482,4770,"0100",261,60375705.012013,46298,3101,96239,0,1938,76000,355000,2016,279000,4350.3
"787507",14269963,3,4,3,2283,2283,6059,3,33685275,-117894994,6000,"122",261,60590639.081009,38032,1286,96958,7,1967,81844,106328,2016,24484,1694.78
"2798891",13855044,2,4,2,1722,1722,6059,2,33914988,-117950018,5400,"122",261,60590017.081006,18874,1286,96186,8,1962,41987,64784,2016,22797,974.24
"1073009",11485981,3,4,3,2380,2380,6037,3,33883965,-118375087,7496,"010C",266,60376205.01601,33612,3101,96124,0,2006,388423,837387,2016,448964,9965.84
"233572",12999397,3,3,3,1821,1821,6037,3,34096582,-118033020,7978,"0100",261,60374315.012007,14111,3101,96517,0,1949,143571,340266,2016,196695,4585.26
"1079870",12140606,2,3,2,1830,1830,6037,2,34127993,-118019712,8289,"0100",261,60374308.023,50749,3101,96267,0,1955,70157,110725,2016,40568,1471.23
"1653231",14392305,2.5,3,2.5,3200,3200,6059,2,33573572,-117738498,5299,"122",261,60590626.331001,37086,1286,96974,0,1999,503564,1126000,2016,622436,11241.82
"69685",13055498,3,5,3,4046,4046,6037,3,34137368,-117757766,9207,"0101",261,60374002.04102,39308,3101,96494,0,1998,541857,920606,2016,378749,11415.25
"948131",12695669,2,4,2,1666,1666,6037,2,33769613,-118320802,19288,"0101",261,60376707.021001,33727,3101,96121,0,1955,237812,396285,2016,158473,4831.6
"1494218",11103982,2,3,2,1400,1400,6037,2,34427885,-118463768,11669,"0100",261,60379200.341017,54311,3101,96374,0,1967,84100,420900,2016,336800,5572.18
"2143143",13840633,1,2,1,690,690,6059,1,33743311,-117880538,4455,"122",261,60590749.011005,47568,1286,97003,4,1922,20393,208047,2016,187654,2666.82
"175884",14212943,2,4,2,1745,1745,6059,2,33829801,-117827776,17508,"122",261,60590758.133009,33252,1286,97065,8,1973,132059,709340,2016,577281,7676.66
"982314",14496852,2.5,4,2.5,1752,1752,6059,2,33653425,-117590373,4500,"122",261,60590320.503001,15554,1286,96993,0,1987,153460,470782,2016,317322,6349.7
"84440",13018862,1,2,1,746,746,6037,1,34118680,-117913415,7383,"0100",261,60374044.022012,37015,3101,96464,0,1947,84469,219615,2016,135146,2753.97
"2249329",14320364,3,4,3,2764,2764,6059,3,33634842,-117817004,11232,"122",261,60590626.312004,52650,1286,96940,8,1972,104367,197581,2016,93214,2092.62
"1577206",14009952,2,2,2,2137,2137,6059,2,33777182,-117958950,20790,"122",261,60590887.012002,24832,1286,97048,6,1951,140789,277138,2016,136349,3493.48
"2542493",12419029,2,3,2,1405,1405,6037,2,33854602,-118086013,5741,"0100",261,60375545.223002,10774,3101,96206,0,1970,118328,283766,2016,165438,3275.59
"1851547",10886585,2,2,2,1163,1163,6037,2,34184400,-118414000,42085,"010C",266,60371236.012,12447,3101,96451,0,1964,54720,91197,2016,36477,1193.14
"519755",14433933,3.5,4,3.5,4293,4293,6059,3,33497140,-117695271,7350,"122",261,60590423.322003,25459,1286,96987,0,1990,504382,1140306,2016,635924,12083.28
"2056051",14492854,2,4,2,1971,1971,6059,2,33628879,-117658762,4700,"122",261,60590320.322008,12773,1286,96995,7,1974,161342,247611,2016,86269,2453.52
"2452679",12355543,2,3,2,1022,1022,6037,2,33992281,-118181913,3147,"0100",261,60375337.011,41484,3101,96119,0,1923,120158,286096,2016,165938,4019.43
"1505818",14423454,6.5,5,6.5,4399,4399,6059,6,33493909,-117619395,18070,"1",261,60590422.036,33840,1286,96985,0,2015,780999,1184000,2016,403001,21095.68
"2162384",11609492,3,3,3,2008,2008,6037,3,34051000,-118422000,11914,"010C",266,60372671.003006,12447,3101,96006,0,2004,463099,757580,2016,294481,9087.64
"1856281",12222706,2,4,2,1745,1745,6037,2,33949267,-118305134,6624,"0100",261,60372380.003006,12447,3101,96028,0,1938,124618,352637,2016,228019,4417.67
"2478382",11127622,3,4,3,2310,2310,6037,3,34293341,-118551684,7970,"0100",261,60371081.041013,12447,3101,96356,0,1966,95039,120694,2016,25655,1637.75
"944890",11880933,2,4,2,1706,1706,6037,2,34113187,-118157821,7516,"0100",261,60374807.032011,27183,3101,96280,0,1905,169557,847790,2016,678233,10198.54
"216953",12621255,2,2,2,859,859,6037,2,33813730,-118294008,209776,"010E",266,60375436.022007,118878,3101,96160,0,1973,96319,176404,2016,80085,2434.61
"1612436",10813316,3,5,3,3656,3656,6037,3,34161812,-118541757,17070,"0101",261,60371398.011003,12447,3101,96379,0,1956,432945,997584,2016,564639,12177.05
"938940",11299232,3,5,3,3293,3293,6037,3,34686171,-118099730,6783,"0100",261,60379005.062006,5534,3101,97318,0,2006,193551,254466,2016,60915,4017.07
"2936906",17150582,3.5,4,3.5,2873,2873,6111,3,34195579,-119214440,5462,"1111",261,61110036.051005,13150,2061,97106,9,2006,234000,664000,2016,430000,8351.1
"2413442",14416270,2.5,4,2.5,1687,1687,6059,2,33549766,-117693495,3750,"122",261,60590423.362002,25459,1286,96987,0,1989,185563,489381,2016,303818,4970.9
"1840292",11911510,2,2,2,1656,1656,6037,2,34092418,-118104806,8842,"0100",261,60374811.033013,33837,3101,96515,0,1946,110690,351750,2016,241060,4946.59
"427414",12957957,2,3,2,2160,2160,6037,2,34147216,-118005295,8049,"0100",261,60374310.011011,32923,3101,96273,0,1920,214914,688262,2016,473348,8954.79
"1435068",11275716,3,4,3,1697,1697,6037,3,34715407,-118150556,9820,"0100",261,60379008.033002,5534,3101,97317,0,1990,76839,109305,2016,32466,2227.55
"2263702",14178678,2,4,2,1776,1776,6059,2,33883593,-117850303,7018,"122",261,60590117.152003,26531,1286,97068,7,1972,117343,301800,2016,184457,3832.6
"846502",14073133,2.5,4,2.5,2918,2918,6059,2,33702756,-117961078,7200,"122",261,60590992.502004,8384,1286,97008,9,1976,114880,164072,2016,49192,2010.82
"847091",14225274,2,4,2,1559,1559,6059,2,33832871,-117858466,7000,"122",261,60590762.013002,33252,1286,97063,7,1964,66098,137272,2016,71174,1692.06
"1697107",14136217,2,4,2,1874,1874,6059,2,33879221,-117951035,9464,"122",261,60590110.005,24812,1286,97041,7,1959,48343,74585,2016,26242,1078.46
"1426349",12878244,1,3,1,1096,1096,6037,1,34033353,-117734637,5699,"0100",261,60374029.041005,20008,3101,96506,0,1947,78282,142671,2016,64389,1874.93
"2926919",11623145,2,2,2,1372,1372,6037,2,34058000,-118410000,223002,"010C",266,60372679.012,12447,3101,96048,0,1966,224524,694952,2016,470428,8381.15
"644528",11227440,2,4,2,2067,2067,6037,2,34547890,-117953106,30555,"0100",261,60379100.021129,29189,3101,97323,0,1982,164027,205033,2016,41006,2526
"142500",12622071,3,4,3,2082,2082,6037,3,33806541,-118290693,6259,"0100",261,60375436.032016,118878,3101,96210,0,1968,118000,593000,2016,475000,7425.33
"2586849",12350560,2,3,2,1465,1465,6037,2,33943551,-118109083,8054,"0101",261,60375510.006001,4406,3101,96101,0,1953,166507,440435,2016,273928,5375.77
"1115950",14367355,2.5,4,2.5,1796,1796,6059,2,33684121,-117671173,3195,"122",261,60590524.222004,32380,1286,96946,0,1994,231644,304777,2016,73133,3814.02
"1249138",14061608,3,5,3,2315,2315,6059,3,33700259,-117958380,7540,"122",261,60590992.321013,8384,1286,97008,7,1968,169063,685430,2016,516367,7611.88
"730338",11795630,1,0,1,744,744,6037,1,34035500,-118233000,31719,"010G",261,60372060.312031,12447,3101,96002,0,1925,89338,111638,2016,22300,3045.93
"449525",10903340,5,5,5,3313,3313,6037,5,34164189,-118418897,5488,"0101",261,60371247.002002,12447,3101,96424,0,1961,455197,886693,2016,431496,10701.13
"1838022",11201255,2,3,2,1316,1316,6037,2,34574200,-118097000,1360,"010C",266,60379105.022008,40227,3101,97328,0,1989,49107,65936,2016,16829,1449.72
"1048182",11602990,4,4,4,3879,3879,6037,4,34043922,-118402971,8913,"0101",261,60372690.002001,12447,3101,96045,0,1929,1218300,3045750,2016,1827450,36681.92
"2224613",11020955,4,4,4,2600,2600,6037,4,34260170,-118439255,6089,"0100",261,60371192.022008,12447,3101,96361,0,1950,187123,209027,2016,21904,2600.07
"70897",14081961,3,3,3,3324,3324,6059,3,33726842,-118054808,6000,"122",261,60590995.141002,25218,1286,96967,0,1985,410509,1082260,2016,671751,11980.98
"384170",14076345,3,4,3,2174,2174,6059,3,33704585,-117945991,6000,"122",261,60590992.513009,8384,1286,97008,8,1971,62659,86446,2016,23787,1187.9
"69928",13844670,2,5,2,1599,1599,6059,2,33727478,-117877474,8040,"122",261,60590747.021014,47568,1286,97007,5,1950,101434,297260,2016,195826,3584.9
"1763605",11320180,2,3,2,1454,1454,6037,2,34656130,-118243766,9990,"0100",261,60379012.052004,5534,3101,97319,0,1994,126273,168829,2016,42556,2958.03
"2311882",17143063,2,4,2,1547,1547,6111,2,34233770,-118998799,6105,"1111",261,61110053.031027,51239,2061,97091,7,1985,235851,393081,2016,157230,4260.46
"2437982",12373187,1,2,1,1014,1014,6037,1,34023004,-118152693,5038,"0100",261,60375317.011009,17882,3101,96003,0,1925,56766,231773,2016,175007,3324.99
"2531438",14061106,2,3,2,1891,1891,6059,2,33690399,-117966904,9520,"122",261,60590992.312011,8384,1286,97008,6,1965,117558,204855,2016,87297,2443.16
"2321270",13021744,3,3,3,1465,1465,6037,3,34141200,-117917000,265502,"010C",266,60374006.031044,37015,3101,96464,0,1980,175663,290044,2016,114381,3629.08
"1068606",13005492,1,3,1,949,949,6037,1,34097605,-118040619,7945,"0100",261,60374321.01301,14111,3101,96517,0,1947,43354,216798,2016,173444,3100.35
"1489038",14427395,3,3,3,2942,2942,6059,3,33492227,-117728859,16820,"122",261,60590423.241011,17686,1286,96961,8,1977,367231,1514415,2016,1147184,17570.06
"2176908",13876028,2,3,2,1216,1216,6059,2,33866589,-117914604,6719,"1",261,60590116.022011,24812,1286,97040,0,1965,70547,386132,2016,315585,4529.14
"2717613",11458160,3,7,3,2802,2802,6037,3,33965178,-118400998,6202,"0100",261,60372770.00101,12447,3101,96026,0,1944,157543,213437,2016,55894,2744
"336605",12696617,2,3,2,1841,1841,6037,2,33747040,-118315104,7476,"0100",261,60376707.014011,54053,3101,96122,0,1955,222541,1105661,2016,883120,13377.93
"1988293",11652589,3,3,3,1808,1808,6037,3,34109596,-118448070,5440,"0100",261,60372612.001066,12447,3101,96058,0,1926,218400,990100,2016,771700,12016.59
"1641919",10728089,2,3,2,1570,1570,6037,2,34191570,-118646030,8228,"0100",261,60371352.031016,12447,3101,96342,0,1959,141171,273829,2016,132658,3510.31
"806039",17148507,2,3,2,1691,1691,6111,2,34185166,-119200762,6040,"1111",261,61110088.002004,13150,2061,97106,7,1962,107185,164890,2016,57705,1995.9
"2147440",14355050,3,4,3,2858,2858,6059,3,33690635,-117751341,4935,"1",261,60590524.182014,52650,1286,96954,0,2012,612435,1109947,2016,497512,15750.58
"1624559",14463811,2.5,3,2.5,1910,1910,6059,2,33559251,-117644631,3215,"122",261,60590320.573002,52835,1286,96998,0,2001,227821,487016,2016,259195,7311.68
"971034",10792612,3,3,3,1631,1631,6037,3,34173700,-118604000,493881,"010C",266,60371371.032013,12447,3101,96389,0,1979,280615,500518,2016,219903,6117.31
"1142238",12738078,1,3,1,1060,1060,6037,1,33926213,-118003970,6867,"0100",261,60375036.011,114828,3101,96190,0,1945,119799,441633,2016,321834,5291.29
"1135894",11024550,1,3,1,970,970,6037,1,34252198,-118417234,5998,"0100",261,60371048.103003,12447,3101,96361,0,1955,35301,51226,2016,15925,648.37
"2025197",14187365,3.5,5,3.5,3235,3235,6059,3,33884024,-117811973,17900,"122",261,60590218.02202,21412,1286,97078,9,1979,255149,757369,2016,502220,8658.04
"2059363",17296662,2,4,2,2039,2039,6111,2,34171241,-118752786,7268,"1111",261,61110074.052011,53655,2061,96393,6,1970,200205,310028,2016,109823,4325.4
"1231279",12647438,2,2,2,1370,1370,6037,2,33745411,-118304438,7000,"0100",261,60372964.021003,12447,3101,96222,0,1936,32692,62902,2016,30210,897.14
"502090",13036480,2,4,2,1794,1794,6037,2,34109755,-117858908,7734,"0100",261,60374012.031012,11626,3101,96485,0,1961,49477,66433,2016,16956,1095.44
