"","parcelid","bathroomcnt","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","finishedsquarefeet12","fips","fullbathcnt","latitude","longitude","lotsizesquarefeet","propertycountylandusecode","propertylandusetypeid","rawcensustractandblock","regionidcity","regionidcounty","regionidzip","roomcnt","yearbuilt","structuretaxvaluedollarcnt","taxvaluedollarcnt","assessmentyear","landtaxvaluedollarcnt","taxamount"
"1364115",13947794,2.5,2,2.5,1515,1515,6059,2,33767484,-117970352,1608,"122",261,60590888.013004,24832,1286,97051,5,1978,112655,294654,2015,181999,3735.34
"64996",11946340,2,2,2,1301,1301,6037,2,34095512,-118273486,5499,"0100",261,60371951.004013,12447,3101,96020,0,1939,127434,391664,2015,264230,4787
"2637808",12092434,1,2,1,842,842,6037,1,34141050,-118265025,6544,"0100",261,60373023.024005,45457,3101,96323,0,1940,105000,525000,2015,420000,5694.15
"582605",11047554,1,2,1,874,874,6037,1,34255740,-118470404,3339,"0100",261,60371096.033005,12447,3101,96371,0,1983,97041,122883,2015,25842,1580.47
"2362256",14472389,3,4,3,2992,2992,6059,3,33592470,-117646741,6480,"122",261,60590320.383008,12773,1286,96996,0,1992,336263,666381,2015,330118,6396.2
"1629087",12547605,1,1,1,617,617,6037,1,33766700,-118174000,7554,"010E",266,60375766.024004,46298,3101,96236,0,1963,62215,77758,2015,15543,1082.51
"976884",13080536,2,3,2,1624,1624,6037,2,34006361,-117870207,15372,"0101",261,60374034.012009,34636,3101,96522,0,1995,268437,540523,2015,272086,6366.56
"1569880",12583806,2,4,2,1650,1650,6037,2,33838202,-118267393,5024,"0100",261,60375438.011027,10723,3101,96229,0,1964,159085,265778,2015,106693,3659.52
"293793",14093754,2,3,2,1114,1114,6059,2,33785400,-117977233,6888,"122",261,60590881.051006,24832,1286,97048,6,1955,60218,234790,2015,174572,3047.84
"993646",14298486,2,3,2,1273,1273,6059,2,33673143,-117820969,5355,"122",261,60590525.233004,52650,1286,96948,6,1971,94781,285075,2015,190294,3084.48
"606041",14084030,2,3,2,1468,1468,6059,2,33752338,-118024907,6000,"122",261,60590996.031028,25218,1286,96965,6,1963,87145,189054,2015,101909,2385.16
"969913",11262585,3,4,3,2160,2160,6037,3,34658128,-118213839,20770,"0101",261,60379011.022003,5534,3101,97319,0,1947,207810,258253,2015,50443,3886.92
"355937",10806436,1,1,1,699,699,6037,1,34165400,-118583000,243467,"010C",266,60371375.011006,12447,3101,96387,0,2000,71000,303000,2015,232000,3736.91
"708044",12792746,2,4,2,1344,1344,6037,2,33930687,-118020758,5800,"0100",261,60375032.011007,118225,3101,96172,0,1954,35064,65430,2015,30366,1099.56
"2843745",11460186,1,3,1,1421,1421,6037,1,33975054,-118399593,5360,"0100",261,60372770.003012,12447,3101,96026,0,1952,159801,353542,2015,193741,4459.85
"1261564",14331682,4.5,3,4.5,3245,3245,6059,4,33736427,-117794726,6050,"122",261,60590525.241006,27491,1286,97018,0,1989,350204,614995,2015,264791,7670.74
"1650211",11242470,3,4,3,2625,2625,6037,3,34507016,-118161647,67922,"0101",261,60379108.041179,16677,3101,97298,0,2005,399000,516259,2015,117259,7005.5
"706936",12516296,4,4,4,3009,3009,6037,4,33809914,-118117927,6690,"0100",261,60375743.002002,46298,3101,96247,0,1953,341902,505841,2015,163939,6204.59
"2933319",11534462,2,2,2,1582,1582,6037,2,33980800,-118435000,83570,"010C",266,60372753.022023,12447,3101,96128,0,1968,75864,121738,2015,45874,1528.74
"1996126",11276601,2,3,2,1791,1791,6037,2,34707691,-118160901,6029,"0100",261,60379008.034006,5534,3101,97317,0,2001,144179,180281,2015,36102,3015.14
"1789205",11595124,2,2,2,961,961,6037,2,33971400,-118460000,18535,"010C",266,60372742.022004,12447,3101,96128,0,1969,151539,949086,2015,797547,11576.11
"1550961",11556604,2,3,2,1976,1976,6037,2,34023458,-118422245,6960,"0101",261,60372717.021004,12447,3101,96015,0,1958,102302,511529,2015,409227,6339.67
"314382",10968353,1,2,1,848,848,6037,1,34302959,-118438850,7387,"0100",261,60371064.032003,12447,3101,96368,0,1953,67125,161578,2015,94453,4054.36
"1922157",11440390,2,3,2,1008,1008,6037,2,33895272,-118347579,9455,"0100",261,60376038.012003,46178,3101,96111,0,1950,25064,61349,2015,36285,1218.13
"2299048",12849811,2,5,2,1721,1721,6037,2,33992035,-117903348,6116,"0101",261,60374082.112005,22827,3101,96492,0,1959,90609,303809,2015,213200,4017.54
"1830624",17269338,2.5,4,2.5,1871,1871,6111,2,34169433,-118960153,7742,"1111",261,61110058.013023,34278,2061,96351,7,1966,268958,537916,2015,268958,5665.58
"2911081",14213134,2.5,4,2.5,2499,2499,6059,2,33840239,-117812802,10804,"122",261,60590219.152014,16764,1286,97026,8,1981,254387,590007,2015,335620,6462.48
"1662307",14089554,2.5,4,2.5,2116,2116,6059,2,33765068,-118041391,8162,"122",261,60590999.063001,34780,1286,96990,9,1964,134328,246619,2015,112291,3257.14
"987457",12056315,2,3,2,1803,1803,6037,2,34165604,-118273369,7042,"0100",261,60373012.062002,45457,3101,96321,0,1936,66073,101754,2015,35681,1176.06
"344225",10972449,3,3,3,1150,1150,6037,3,34305400,-118432000,153170,"010C",266,60371061.141008,12447,3101,96368,0,1985,104474,165929,2015,61455,2120.67
"2756143",11939670,1,2,1,893,893,6037,1,34078637,-118257679,3124,"0100",261,60371974.202012,12447,3101,96007,0,1922,88885,470719,2015,381834,5852.54
"2518006",11790624,2,2,2,844,844,6037,2,34064000,-118283000,21284,"010E",266,60372087.101001,12447,3101,96038,0,1979,130047,284573,2015,154526,3518.69
"1056786",17283412,3,4,3,3308,3308,6111,3,34197060,-118849077,22249,"1110",261,61110072.012012,34278,2061,96385,8,1995,458561,934645,2015,476084,10231.5
"825437",12428550,3,3,3,1094,1094,6037,3,33839861,-118081729,10536,"010C",266,60375550.014008,12292,3101,96215,0,1995,136838,201362,2015,64524,3056.85
"2802996",12465313,2,3,2,1315,1315,6037,2,33824200,-118198000,338238,"010C",266,60375720.023009,46298,3101,96241,0,1974,126624,198082,2015,71458,2460.59
"220302",14320999,2.5,4,2.5,2757,2757,6059,2,33636196,-117802843,6500,"122",261,60590626.311009,52650,1286,96940,8,1978,244966,562945,2015,317979,13974.9
"51998",12439643,3,4,3,1389,1389,6037,3,33812413,-118093240,5394,"0100",261,60375740.002001,46298,3101,96242,0,1954,169327,552060,2015,382733,9249.91
"157990",12871911,1,3,1,1067,1067,6037,1,34079052,-117732212,6495,"0100",261,60374027.032009,20008,3101,96507,0,1954,93411,188054,2015,94643,2441.83
"1346896",12670835,1,3,1,1822,1822,6037,1,33813035,-118378307,6726,"0100",261,60376513.042012,33612,3101,96123,0,1949,40368,104197,2015,63829,1319.03
"604880",13076872,2,4,2,1425,1425,6037,2,34031461,-117814607,9653,"0100",261,60374033.121012,24384,3101,96505,0,1964,95645,139572,2015,43927,2049.15
"2709553",11410942,2,4,2,1536,1536,6037,2,33948369,-118323066,6752,"0100",261,60376007.022006,45888,3101,96137,0,1942,83163,224518,2015,141355,3328.05
"628680",11537522,3,3,3,1700,1700,6037,3,33987383,-118456013,2441,"0100",261,60372741.002002,12447,3101,96127,0,2007,665100,1441000,2015,775900,21546.89
"1343288",11733890,1,3,1,2952,2952,6037,1,34035188,-118314233,7503,"0100",261,60372214.011002,12447,3101,95999,0,1907,108047,352665,2015,244618,4457.33
"1857901",13996610,2.5,4,2.5,2048,2048,6059,2,33831136,-117957332,3075,"122",261,60590871.032005,16764,1286,97023,0,2000,223636,425213,2015,201577,5177.24
"577093",14255534,2,3,2,1680,1680,6059,2,33756651,-117819817,10030,"122",261,60590757.02101,27491,1286,97016,6,1958,112988,602870,2015,489882,7721.38
"2580755",12700407,2,3,2,1350,1350,6037,2,33728475,-118316266,6448,"0100",261,60372974.003012,12447,3101,96222,0,1959,150070,520306,2015,370236,6571.32
"2255892",13866599,3.5,4,3.5,2880,2880,6059,3,33887238,-117929820,13000,"122",261,60590017.062,24812,1286,97043,6,1955,172466,193714,2015,21248,2400.92
"1575695",17171763,2.5,3,2.5,2366,2366,6111,2,34156992,-119221496,2450,"1110",261,61110036.123028,13150,2061,97106,7,2001,321293,856782,2015,535489,9484.04
"1441399",14453130,3,4,3,2186,2186,6059,3,33461793,-117574809,4038,"122",261,60590320.231054,13693,1286,96983,0,2001,271705,589150,2015,317445,8149.48
"898789",12235168,1,1,1,600,600,6037,1,33934532,-118275449,4781,"0100",261,60372411.204008,12447,3101,96042,0,1951,102761,191877,2015,89116,2644.92
"1244783",13861359,2.5,3,2.5,2298,2298,6059,2,33678434,-118024454,1575,"122",261,60590993.083024,25218,1286,96966,7,1989,268869,642430,2015,373561,7443.04
"1096012",13879073,1,2,1,951,951,6059,1,33840340,-117909449,3178,"122",261,60590873.004011,16764,1286,97024,5,1918,23152,196057,2015,172905,2494.22
"886629",12869967,1,3,1,1080,1080,6037,1,34089083,-117713751,6173,"0100",261,60374020.023023,30908,3101,96469,0,1951,35977,193345,2015,157368,2747.27
"2904415",11842857,2,2,2,1022,1022,6037,2,34059200,-118129000,18610,"010C",266,60374821.011004,6021,3101,96496,0,1979,116103,145121,2015,29018,1966.3
"107351",11277927,2,4,2,1686,1686,6037,2,34697971,-118154185,8385,"0101",261,60379008.053024,5534,3101,97317,0,1955,85021,106268,2015,21247,2575.25
"1084904",14450146,2,3,2,2414,2414,6059,2,33425214,-117622212,5320,"1",261,60590421.081,13693,1286,96982,0,1928,90968,898285,2015,807317,9248.86
"1625020",11481551,2,2,2,1243,1243,6037,2,33915752,-118365373,5298,"0100",261,60376023.011009,42150,3101,96107,0,1947,93000,463000,2015,370000,6765.35
"2343159",12725356,2,4,2,1666,1666,6037,2,33921813,-118073931,5680,"0100",261,60375501.004012,53636,3101,96193,0,1952,114922,236274,2015,121352,3216.68
"826153",12597555,2,3,2,1923,1923,6037,2,33839349,-118318916,4140,"0100",261,60376509.011023,54722,3101,96159,0,1924,68827,344158,2015,275331,4108.32
"2787735",12383541,1,2,1,960,960,6037,1,33972623,-118144922,7041,"0100",261,60375340.012003,16961,3101,96083,0,1949,24252,42380,2015,18128,1213.78
"2001458",12700282,2,3,2,1659,1659,6037,2,34035162,-118297257,6344,"0100",261,60372216.012005,12447,3101,96222,0,1955,123912,453977,2015,330065,5713.62
"1885780",14236492,1,3,1,1106,1106,6059,1,33794329,-117845353,8505,"122",261,60590759.011001,33252,1286,97064,5,1952,45351,5e+05,2015,454649,5591.96
"2412593",11474220,2,2,2,1130,1130,6037,2,33983400,-118384000,26467,"010C",266,60377030.012035,51617,3101,96095,0,1967,109924,183814,2015,73890,2377.83
"1204162",12842033,5,5,5,3530,3530,6037,5,33972240,-117908767,35000,"0101",261,60374087.221008,22827,3101,96492,0,2008,733342,1284248,2015,550906,15603.09
"1867425",12621823,2,4,2,1784,1784,6037,2,33804462,-118290364,5438,"0100",261,60375436.032019,118878,3101,96210,0,1968,102172,321616,2015,219444,4207.09
"2781426",17274791,1.5,3,1.5,1336,1336,6111,1,34181128,-118863895,7072,"1110",261,61110070.002009,34278,2061,96383,6,1988,178767,280245,2015,101478,3020.34
"2140529",11114611,3,4,3,2363,2363,6037,3,34441753,-118554690,4427,"0100",261,60379201.141013,54311,3101,96377,0,2004,265000,559000,2015,294000,8036.63
"1436749",12819156,2,4,2,1472,1472,6037,2,34012734,-117963513,5927,"0100",261,60374085.011005,45602,3101,96489,0,1955,181658,438590,2015,256932,5231.38
"1788325",11333189,1,3,1,1000,1000,6037,1,34748782,-118285447,51213,"0100",261,60379009.001263,5534,3101,97319,0,1958,35064,41980,2015,6916,587.95
"39230",12944907,1,2,1,868,868,6037,1,34060620,-117933863,8796,"0101",261,60374067.022008,14542,3101,96523,0,1949,96400,301258,2015,204858,3584.97
"740774",14269837,2,3,2,1570,1570,6059,2,33685224,-117879923,6386,"122",261,60590639.082004,38032,1286,96958,7,1967,90000,595000,2015,505000,6545.98
"1564230",11018904,2,3,2,1236,1236,6037,2,34266832,-118463146,8998,"0100",261,60371094.003003,12447,3101,96371,0,1957,114000,379600,2015,265600,5009.19
"602056",12393933,3,4,3,1770,1770,6037,3,33985506,-118083450,5412,"0100",261,60375008.003001,26483,3101,96197,0,1949,163466,370537,2015,207071,4807.09
"2524893",14247948,2,4,2,1586,1586,6059,2,33765123,-117845946,6120,"122",261,60590754.051001,47568,1286,97005,7,1966,84230,415648,2015,331418,4873.58
"632137",12471606,1,3,1,1210,1210,6037,1,33844343,-118143895,5400,"0101",261,60375713.001003,12292,3101,96212,0,1952,84222,421113,2015,336891,5362.97
"1367764",11469212,3,2,3,1220,1220,6037,3,33959300,-118384000,66546,"010C",266,60372772.001003,12447,3101,96026,0,2007,158500,458500,2015,3e+05,5602.42
"164388",17230309,2,4,2,2015,2015,6111,2,34284595,-118754177,7150,"1111",261,61110079.031043,27110,2061,97118,8,1972,179266,298773,2015,119507,3548.02
"917854",13969671,1,3,1,1072,1072,6059,1,33743057,-117930942,7560,"122",261,60590992.472003,47568,1286,97004,5,1950,35261,404932,2015,369671,4856.72
"2901047",10846872,2,3,2,1999,1999,6037,2,34170046,-118435534,6324,"0100",261,60371286.02301,12447,3101,96410,0,1957,74233,111746,2015,37513,1436.71
"1608147",10898100,2,2,2,1373,1373,6037,2,34165584,-118384845,6560,"0100",261,60371252.002024,12447,3101,96446,0,1942,58695,293486,2015,234791,8583.51
"1810029",13067159,3,4,3,1984,1984,6037,3,34032127,-117760037,6082,"0100",261,60374033.184002,20008,3101,96506,0,1981,181800,493200,2015,311400,6985.08
"787018",12263608,2,3,2,1352,1352,6037,2,33886691,-118240236,6206,"0100",261,60375431.004,24174,3101,96090,0,1948,55307,153636,2015,98329,2966.12
"2796039",17181014,3,4,3,1560,1560,6111,3,34167528,-119168187,7500,"1111",261,61110040.003001,13150,2061,97104,6,1962,219000,386000,2015,167000,4530.48
"1072094",10810167,3,4,3,1785,1785,6037,3,34158064,-118602042,7786,"0100",261,60371375.023002,12447,3101,96387,0,1963,147990,590311,2015,442321,7290.04
"233174",13078547,2,3,2,1600,1600,6037,2,34017615,-117860623,7152,"0100",261,60374034.021003,34636,3101,96522,0,1964,296279,511083,2015,214804,6050.39
"1078514",12544652,1,1,1,700,700,6037,1,33768282,-118158248,7400,"010C",266,60375768.022006,46298,3101,96246,0,1964,30130,47069,2015,16939,726.69
"1652256",10746337,2,2,2,1195,1195,6037,2,34137221,-118820484,490325,"010C",266,60378003.261042,41673,3101,96384,0,1974,156862,436304,2015,279442,5292.03
"69577",13075951,3,4,3,2324,2324,6037,3,34011503,-117808485,7555,"0100",261,60374033.191017,24384,3101,96505,0,1973,93118,117606,2015,24488,1815.88
"946777",13011183,3,3,3,2119,2119,6037,3,34075238,-118059993,7129,"0100",261,60374329.023006,54212,3101,96510,0,1948,163152,295409,2015,132257,3887.62
"1492279",11850480,1,3,1,1064,1064,6037,1,34037909,-118140403,5305,"0100",261,60374827.014013,6021,3101,96496,0,1949,169144,299250,2015,130106,4258.58
"2140696",12881893,3,4,3,1593,1593,6037,3,34062956,-117743265,122769,"010C",266,60374088.001,20008,3101,96507,0,2004,183600,336000,2015,152400,4390.48
"175602",14280640,3,4,3,3036,3036,6059,3,33641415,-117895598,10262,"122",261,60590631.031016,53571,1286,96978,8,1973,216896,1250537,2015,1033641,13763.08
"982269",17180680,3.5,6,3.5,1997,1997,6111,3,34168630,-119169515,6050,"1111",261,61110040.00101,13150,2061,97104,9,1957,205500,348947,2015,143447,4086.66
"84308",13045502,2,2,2,965,965,6037,2,34120700,-117791000,157986,"010E",266,60374003.021003,39308,3101,96494,0,1977,106466,182172,2015,75706,2220.04
"2247355",10874686,3,6,3,1758,1758,6037,3,34221355,-118402897,8876,"0100",261,60371210.102016,12447,3101,96375,0,1952,171022,314256,2015,143234,3899.14
"1575616",11185095,4,4,4,4193,4193,6037,4,34625599,-118218830,16577,"0100",261,60379103.022008,40227,3101,97329,0,2004,279440,349297,2015,69857,5308.16
"2538711",14008631,1.5,3,1.5,1504,1504,6059,1,33786827,-117969731,7370,"122",261,60590881.052,24832,1286,97048,6,1953,65892,216817,2015,150925,2820.34
"1848868",11669329,2,3,2,1374,1374,6037,2,34045323,-118515017,6976,"0100",261,60372625.013,12447,3101,96120,0,1956,127832,639170,2015,511338,7838.87
"519702",11566321,2,2,2,1454,1454,6037,2,34045200,-118463000,6553,"010C",266,60372674.041003,12447,3101,96006,0,2004,198000,672000,2015,474000,8644.72
"2054458",10960939,2,4,2,2212,2212,6037,2,34162537,-118334429,5844,"0104",261,60373115.002004,396054,3101,96437,0,1949,152891,190808,2015,37917,2186.4
"2449084",13914755,2,3,2,1480,1480,6059,2,33849820,-117957036,6864,"122",261,60590867.013021,16764,1286,97020,7,1955,64882,443691,2015,378809,5387.26
"1504261",10941400,2,3,2,1229,1229,6037,2,34167431,-118328847,6750,"0100",261,60373108.00502,396054,3101,96438,0,1940,133473,307391,2015,173918,3438.51
"2159490",11271129,2,3,2,1384,1384,6037,2,34666619,-118167238,6141,"0100",261,60379010.111013,5534,3101,97319,0,1988,112019,140049,2015,28030,2549.88
"1853669",12878543,2,4,2,1311,1311,6037,2,34028951,-117738205,7257,"0100",261,60374029.042007,20008,3101,96506,0,1963,47385,58983,2015,11598,920.78
"2475057",12264185,2,4,2,1086,1086,6037,2,33883104,-118244663,5600,"0100",261,60375431.003004,24174,3101,96090,0,1954,34338,106928,2015,72590,2122.43
"943683",12259334,1,3,1,1208,1208,6037,1,33912249,-118261959,6851,"0100",261,60375408.005006,118994,3101,96040,0,1947,19762,34014,2015,14252,941.72
"216608",12701570,2,3,2,1631,1631,6037,2,33735097,-118350001,10751,"0100",261,60376706.021011,54053,3101,96122,0,1959,126597,633015,2015,506418,7669.69
"1610087",11489089,3,4,3,2478,2478,6037,3,33875908,-118374573,7502,"010C",266,60376205.222011,33612,3101,96124,0,1989,278599,468094,2015,189495,5939.49
"938236",10760274,2,4,2,2067,2067,6037,2,34136957,-118617157,12904,"0100",261,60378001.012022,37688,3101,96337,0,1970,84800,113539,2015,28739,1498.25
"2933201",11502434,3,4,3,2765,2765,6037,3,33884539,-118402583,3992,"0100",261,60376209.013016,19177,3101,96117,0,1988,517389,2488308,2015,1970919,27979.94
"2411256",11028665,2,3,2,1071,1071,6037,2,34240451,-118409525,6413,"0100",261,60371212.102002,12447,3101,96361,0,1960,38751,62186,2015,23435,869.49
"1837848",12627583,1,2,1,952,952,6037,1,33788439,-118277066,3045,"0100",261,60372943.022014,12447,3101,96228,0,1927,99492,214243,2015,114751,2667.97
"426759",13834697,2,3,2,1211,1211,6059,2,33767742,-117886861,6001,"122",261,60590753.02102,47568,1286,97006,6,1953,29831,52286,2015,22455,858.12
"1433288",11947462,3,4,3,2043,2043,6037,3,34101612,-118268546,3269,"0100",261,60371951.003007,12447,3101,96020,0,1990,225673,651950,2015,426277,8031.65
"2261753",10764481,3,3,3,1224,1224,6037,3,34202000,-118552000,99032,"010C",266,60371317.022006,12447,3101,96364,0,1979,118784,148474,2015,29690,1840.56
"845284",14402715,2,2,2,1817,1817,6059,2,33537765,-117768504,7995,"122",261,60590626.192,52842,1286,96969,5,1952,115501,1525000,2015,1409499,16547.68
"846536",11150500,3,5,3,2404,2404,6037,3,34397371,-118446540,5512,"0100",261,60379200.431012,54311,3101,96401,0,2000,285390,484490,2015,199100,6461.11
"1696042",17082697,2.5,3,2.5,2059,2059,6111,2,34280486,-119231439,7362,"1110",261,61110018.002005,34543,2061,97083,7,1959,176000,621000,2015,445000,6515.06
"1424306",14107825,1.5,4,1.5,1458,1458,6059,1,33811775,-118045208,6900,"122",261,60591101.142008,44833,1286,96185,5,1963,73515,511000,2015,437485,5959.24
"2923003",12739701,2,3,2,1580,1580,6037,2,33908546,-118024192,6308,"0101",261,60375040.024002,5465,3101,96190,0,1956,70042,101228,2015,31186,1566.31
"643634",11570975,2,2,2,1605,1605,6037,2,34041399,-118478707,7885,"0101",261,60377016.012007,26964,3101,96150,0,1937,123038,880792,2015,757754,10723.2
"142288",12680936,2,4,2,1928,1928,6037,2,33817416,-118367900,9128,"0100",261,60376512.012,54722,3101,96163,0,1949,50977,114806,2015,63829,1541.4
"2583028",13971429,2,4,2,1651,1651,6059,2,33741237,-117942732,6045,"122",261,60590992.031008,24832,1286,97004,7,1963,87605,269032,2015,181427,3216.5
"1115722",17098236,2,4,2,1402,1402,6111,2,34373786,-119061449,7541,"1111",261,61110004.002012,26965,2061,97113,6,1957,177744,355488,2015,177744,3852.02
"1248006",14326393,4.5,2,4.5,3946,3946,6059,4,33602379,-117814257,11724,"122",261,60590626.436004,40009,1286,96975,0,2000,657659,1701314,2015,1043655,22629.44
"729915",10718890,5,5,5,3857,3857,6037,5,34210918,-118652396,11417,"0101",261,60371344.241002,12447,3101,96339,0,1987,723709,1129962,2015,406253,14058.54
"448810",11074220,2,4,2,1756,1756,6037,2,34266984,-118530046,11003,"0101",261,60371112.061017,12447,3101,96356,0,1960,144565,242022,2015,97457,3123.8
"1835603",12073507,1,2,1,986,986,6037,1,34170573,-118227005,4987,"0100",261,60373008.001011,45457,3101,96327,0,1941,51518,257610,2015,206092,2844.71
"1046938",12121055,1,2,1,1050,1050,6037,1,34143513,-118091174,7510,"0100",261,60374632.002001,47019,3101,96295,0,1926,60284,324543,2015,264259,3931.19
"2221577",11997455,1,2,1,1072,1072,6037,1,34081965,-118351747,2128,"0100",261,60371920.023009,12447,3101,96017,0,1929,17314,42177,2015,24863,626.26
"70793",14105682,2,4,2,1400,1400,6059,2,33819897,-117891906,5580,"122",261,60590863.033012,16764,1286,97024,7,1969,72828,227044,2015,154216,2924.8
"383577",14217088,2.5,3,2.5,1510,1510,6059,2,33834284,-117780608,4770,"122",261,60590219.204007,16764,1286,97026,0,1990,177546,473199,2015,295653,4982.22
"69831",13867732,2,3,2,1441,1441,6059,2,33878865,-117901323,8280,"122",261,60590114.021001,24812,1286,97039,6,1954,45052,70372,2015,25320,1044.44
"1761350",12139056,3,2,3,1590,1590,6037,3,34128800,-118047000,138440,"010D",269,60374307.212007,50749,3101,96268,0,1974,161961,456457,2015,294496,5488.1
"2308496",11460787,2,3,2,1222,1222,6037,2,33969299,-118411792,6311,"0100",261,60372764.005,12447,3101,96026,0,1949,321000,753000,2015,432000,15132.44
"2434425",13945226,2,3,2,1139,1139,6059,2,33768541,-117975620,7194,"122",261,60590888.011,24832,1286,97051,7,1954,74471,385732,2015,311261,4809.42
"2529020",10728382,2,3,2,1706,1706,6037,2,34189608,-118645191,8227,"0100",261,60371352.031022,12447,3101,96342,0,1961,94967,120444,2015,25477,1626.63
"2318465",14325362,4.5,5,4.5,3389,3389,6059,4,33576951,-117837177,6426,"122",261,60590626.43103,40009,1286,96975,0,2002,763583,3489000,2015,2725417,38544.46
"1067091",14108530,1.5,3,1.5,1242,1242,6059,1,33815797,-118047838,1334,"122",261,60591101.061,44833,1286,96185,6,1965,70532,178835,2015,108303,2340.24
"1488408",10729593,3,4,3,1782,1782,6037,3,34187136,-118636203,7047,"0100",261,60371352.023002,12447,3101,96342,0,1959,159320,581387,2015,422067,7264.27
"2174213",11232445,2,4,2,1600,1600,6037,2,34556153,-118028675,6583,"0100",261,60379107.061026,40227,3101,97330,0,1995,131924,164896,2015,32972,2924.88
"2713973",12564718,2,4,2,1946,1946,6037,2,33876208,-118205536,5285,"0100",261,60375704.03203,46298,3101,96239,0,1952,127773,221818,2015,94045,2830.09
"336062",12810346,2,3,2,1639,1639,6037,2,33986352,-117966322,7768,"0101",261,60374086.253009,45602,3101,96489,0,1961,168791,225042,2015,56251,2901.7
"1985736",12487814,1,3,1,1066,1066,6037,1,33838187,-118108524,5199,"0100",261,60375711.021001,12292,3101,96213,0,1950,61155,93091,2015,31936,1505.35
"1639497",11408856,3,4,3,2754,2754,6037,3,33949798,-118328097,7445,"0100",261,60376007.023,45888,3101,96137,0,1952,202036,351295,2015,149259,4970.68
"804929",10870322,3,3,3,2030,2030,6037,3,34138263,-118503277,19723,"0101",261,60371397.024007,12447,3101,96426,0,1966,268334,447219,2015,178885,5723.5
"2144672",11244803,3,2,3,2018,2018,6037,3,34467987,-117848881,20015,"0100",261,60379110.013018,25621,3101,97324,0,1964,143500,198800,2015,55300,2406.17
"1622994",10862927,1,2,1,1036,1036,6037,1,34152000,-118465000,43109,"010E",266,60371413.023008,12447,3101,96412,0,1948,203996,423291,2015,219295,5232.39
"969615",11147068,3,4,3,1939,1939,6037,3,34429870,-118412113,292671,"010C",266,60379108.071011,54311,3101,96401,0,1982,202759,328126,2015,125367,4510.85
"1140589",13847645,1,3,1,1134,1134,6059,1,33717745,-117870372,6559,"122",261,60590742.00302,47568,1286,97007,5,1949,59625,316621,2015,256996,3933.2
"1134324",11549591,1,1,1,704,704,6037,1,33996742,-118448621,4545,"0100",261,60372737.002008,12447,3101,96127,0,1921,989,40538,2015,39549,592.91
"2023538",17252163,2.5,4,2.5,1818,1818,6111,2,34259858,-118748638,6900,"1111",261,61110080.042,27110,2061,97118,7,1964,188117,376234,2015,188117,4452.26
"2056326",11535762,4,3,4,3360,3360,6037,4,33981858,-118468141,2520,"0100",261,60372739.023024,12447,3101,96127,0,1990,735388,2836525,2015,2101137,34599.98
"1229515",13043474,4,3,4,2594,2594,6037,4,34138088,-117833479,15096,"0101",261,60374004.04301,11626,3101,96486,0,1956,308906,767176,2015,458270,8956.55
"501335",13950838,2,4,2,1450,1450,6059,2,33754345,-117965286,6507,"122",261,60590889.053013,34780,1286,96990,7,1964,75396,409602,2015,334206,5098.92
